model,noise_std,coverage,avg_width
Linear Regression,1.0,0.893,5.032528412896463
Linear Regression,1.5,0.812,5.032528412896463
Linear Regression,2.0,0.706,5.032528412896463
Linear Regression,2.5,0.658,5.032528412896463
Linear Regression,3.0,0.545,5.032528412896463
Random Forest,1.0,0.89,3.9349847542378447
Random Forest,1.5,0.747,3.9349847542378447
Random Forest,2.0,0.629,3.9349847542378447
Random Forest,2.5,0.546,3.9349847542378447
Random Forest,3.0,0.474,3.9349847542378447
Gradient Boosting,1.0,0.895,3.5467851275456397
Gradient Boosting,1.5,0.718,3.54678512754564
Gradient Boosting,2.0,0.6,3.54678512754564
Gradient Boosting,2.5,0.528,3.54678512754564
Gradient Boosting,3.0,0.432,3.5467851275456397
